easting,northing,yaw,state_x,state_y,state_yaw
324949.774453,4557207.84861,0.00757878221826,324949.774879,4557207.85049,1.34903649958
324949.774453,4557207.84861,0.00757859860578,324949.774881,4557207.8505,1.34906264992
324949.774453,4557207.84861,0.00757766389866,324949.774883,4557207.85051,1.34908823396
324949.774453,4557207.84861,0.00758357642837,324949.774885,4557207.85052,1.34911994704
324949.774453,4557207.84861,0.00757868182957,324949.774887,4557207.85053,1.34914255058
324949.774453,4557207.84861,0.007562289865,324949.774888,4557207.85054,1.34915250267
324949.774453,4557207.84861,0.00756509866771,324949.77489,4557207.85054,1.34918157297
324949.765795,4557207.83771,0.00754225165839,324949.774373,4557207.84985,1.34918969635
324949.765795,4557207.83771,0.00753707617932,324949.773886,4557207.8492,1.34922221738
324949.765795,4557207.83771,0.00754980889813,324949.773427,4557207.84858,1.34926566766
