longitude,latitude,altitude,yaw,state_x,state_y,state_yaw
0.059325,-0.0111045,0.037,0.0150636,0.0494798,-0.00211641,1.58085
0.059325,-0.0111045,0.037,0.0150895,0.0500525,-0.00258326,1.58085
0.059325,-0.0111045,0.037,0.0151293,0.0505919,-0.00302293,1.58085
0.059325,-0.0111045,0.037,0.0151709,0.0510998,-0.003437,1.58085
0.059325,-0.0111045,0.037,0.0152341,0.0515782,-0.00382695,1.58085
0.059325,-0.0111045,0.037,0.0152391,0.0520287,-0.00419415,1.58084
0.059325,-0.0111045,0.037,0.0152649,0.052453,-0.00454002,1.58084
0.059325,-0.0111045,0.037,0.0152822,0.0528525,-0.00486575,1.58084
0.059325,-0.0111045,0.037,0.0153085,0.0532288,-0.00517251,1.58084
0.059325,-0.0111045,0.037,0.0153221,0.0535832,-0.00546141,1.58084
0.059325,-0.0111045,0.037,0.0153392,0.053917,-0.00573349,1.58083
0.059325,-0.0111045,0.037,0.0153744,0.0542313,-0.00598973,1.58083
0.059325,-0.0111045,0.037,0.0153875,0.0545273,-0.00623105,1.58083
0.059325,-0.0111045,0.037,0.0153891,0.0548061,-0.00645831,1.58083
0.059325,-0.0111045,0.037,0.0154004,0.0550687,-0.00667235,1.58083
0.059325,-0.0111045,0.037,0.0154319,0.055316,-0.00687392,1.58083
0.059325,-0.0111045,0.037,0.0154567,0.0555488,-0.00706375,1.58083
0.059325,-0.0111045,0.037,0.0154785,0.0557681,-0.00724253,1.58083
0.059325,-0.0111045,0.037,0.0154924,0.0559747,-0.00741084,1.58082
0.059325,-0.0111045,0.037,0.0155113,0.0561692,-0.00756941,1.58082
0.059325,-0.0111045,0.037,0.0155277,0.0563524,-0.00771881,1.58082
0.076275,-0.0111045,0.054,0.0155519,0.0575122,-0.00789709,1.58082
0.076275,-0.0111045,0.054,0.0158997,0.0586045,-0.00806502,1.58081
0.076275,-0.0111045,0.054,0.0159106,0.0596333,-0.00822317,1.58081
0.076275,-0.0111045,0.054,0.0159128,0.0606021,-0.00837211,1.5808
0.076275,-0.0111045,0.054,0.0159486,0.0615145,-0.00851238,1.5808
0.076275,-0.0111045,0.054,0.0159632,0.0623737,-0.00864447,1.58079
0.076275,-0.0111045,0.054,0.0159871,0.063183,-0.00876888,1.58079
0.076275,-0.0111045,0.054,0.0160179,0.0639451,-0.00888605,1.58079
0.076275,-0.0111045,0.054,0.0160478,0.0646629,-0.00899639,1.58078
0.076275,-0.0111045,0.054,0.0160438,0.0653388,-0.00910031,1.58078
0.076275,-0.0111045,0.054,0.0160708,0.0659754,-0.00919817,1.58078
0.076275,-0.0111045,0.054,0.016071,0.0665749,-0.00929034,1.58078
0.076275,-0.0111045,0.054,0.0160977,0.0671396,-0.00937714,1.58077
0.076275,-0.0111045,0.054,0.016099,0.0676713,-0.00945887,1.58077
0.076275,-0.0111045,0.054,0.0161036,0.0681721,-0.00953586,1.58077
0.076275,-0.0111045,0.054,0.0160931,0.0686437,-0.00960836,1.58077
0.076275,-0.0111045,0.054,0.0161189,0.0690879,-0.00967665,1.58077
0.076275,-0.0111045,0.054,0.016142,0.0695062,-0.00974095,1.58077
0.076275,-0.0111045,0.054,0.0161766,0.0699001,-0.00980152,1.58076
0.076275,-0.0111045,0.054,0.0162074,0.0702711,-0.00985856,1.58076
0.076275,-0.0111045,0.054,0.0162243,0.0706205,-0.00991227,1.58076
0.076275,-0.0111045,0.054,0.0162688,0.0709496,-0.00996286,1.58076
0.076275,-0.0111045,0.054,0.0163042,0.0712595,-0.0100105,1.58076
0.076275,-0.0111045,0.054,0.0163005,0.0715513,-0.0100554,1.58076
0.076275,-0.0111045,0.054,0.0163457,0.0718262,-0.0100976,1.58076
0.093225,-0.0111045,0.068,0.0163755,0.0730715,-0.0100903,1.58076
0.093225,-0.0111045,0.068,0.0167205,0.0742443,-0.0100835,1.58075
0.093225,-0.0111045,0.068,0.0167325,0.0753489,-0.010077,1.58075
0.093225,-0.0111045,0.068,0.0167322,0.0763891,-0.0100709,1.58075
0.093225,-0.0111045,0.068,0.016783,0.0773687,-0.0100652,1.58074
0.093225,-0.0111045,0.068,0.0167844,0.0782913,-0.0100598,1.58074
